items,support,ordered_statistics,length
"frozenset({'인증', '구매'})",0.05641271056661562,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'구매', '인증'}), confidence=0.05641271056661562, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'인증'}), confidence=0.519478230213291, lift=5.93170333253384), OrderedStatistic(items_base=frozenset({'인증'}), items_add=frozenset({'구매'}), confidence=0.6441530054644808, lift=5.93170333253384)]",2
"frozenset({'완료', '구매'})",0.011614663093415007,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'완료', '구매'}), confidence=0.011614663093415007, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'완료'}), confidence=0.10695399259650977, lift=5.224805679244111), OrderedStatistic(items_base=frozenset({'완료'}), items_add=frozenset({'구매'}), confidence=0.5673874926943309, lift=5.2248056792441115)]",2
"frozenset({'대박', '요'})",0.0062476071975497705,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'대박', '요'}), confidence=0.0062476071975497705, lift=1.0), OrderedStatistic(items_base=frozenset({'대박'}), items_add=frozenset({'요'}), confidence=0.19823855439981777, lift=6.675894976210462), OrderedStatistic(items_base=frozenset({'요'}), items_add=frozenset({'대박'}), confidence=0.2103948428686543, lift=6.675894976210463)]",2
"frozenset({'주문', '번호'})",0.004780819295558959,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'주문', '번호'}), confidence=0.004780819295558959, lift=1.0), OrderedStatistic(items_base=frozenset({'번호'}), items_add=frozenset({'주문'}), confidence=0.5231736056559309, lift=70.19091918963936), OrderedStatistic(items_base=frozenset({'주문'}), items_add=frozenset({'번호'}), confidence=0.6414125200642055, lift=70.19091918963936)]",2
"frozenset({'장', '구매'})",0.004407542113323124,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'장', '구매'}), confidence=0.004407542113323124, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'장'}), confidence=0.04058699101004759, lift=5.7498695874302), OrderedStatistic(items_base=frozenset({'장'}), items_add=frozenset({'구매'}), confidence=0.624406779661017, lift=5.7498695874302)]",2
"frozenset({'아이', '구매'})",0.0036873085758039816,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'아이', '구매'}), confidence=0.0036873085758039816, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'아이'}), confidence=0.033954697690816146, lift=1.7179597165794047), OrderedStatistic(items_base=frozenset({'아이'}), items_add=frozenset({'구매'}), confidence=0.18656174334140435, lift=1.7179597165794047)]",2
"frozenset({'인', '구매'})",0.0033738514548238897,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'인', '구매'}), confidence=0.0033738514548238897, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'인'}), confidence=0.031068217874140665, lift=3.287096104800219), OrderedStatistic(items_base=frozenset({'인'}), items_add=frozenset({'구매'}), confidence=0.35696202531645566, lift=3.287096104800219)]",2
"frozenset({'인증', '번호'})",0.0033714586523736602,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'인증', '번호'}), confidence=0.0033714586523736602, lift=1.0), OrderedStatistic(items_base=frozenset({'번호'}), items_add=frozenset({'인증'}), confidence=0.36894474993453785, lift=4.212824860454701), OrderedStatistic(items_base=frozenset({'인증'}), items_add=frozenset({'번호'}), confidence=0.038497267759562845, lift=4.212824860454701)]",2
"frozenset({'구매', '번호'})",0.0032924961715160798,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'구매', '번호'}), confidence=0.0032924961715160798, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'번호'}), confidence=0.030319055173629473, lift=3.3178684310456217), OrderedStatistic(items_base=frozenset({'번호'}), items_add=frozenset({'구매'}), confidence=0.36030374443571617, lift=3.3178684310456217)]",2
"frozenset({'가족', '구매'})",0.0030699655436447165,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가족', '구매'}), confidence=0.0030699655436447165, lift=1.0), OrderedStatistic(items_base=frozenset({'가족'}), items_add=frozenset({'구매'}), confidence=0.24888457807953443, lift=2.291861512228958), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'가족'}), confidence=0.028269874845760618, lift=2.291861512228958)]",2
"frozenset({'해', '인증'})",0.0030580015313935683,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'해', '인증'}), confidence=0.0030580015313935683, lift=1.0), OrderedStatistic(items_base=frozenset({'인증'}), items_add=frozenset({'해'}), confidence=0.034918032786885246, lift=5.561335465813674), OrderedStatistic(items_base=frozenset({'해'}), items_add=frozenset({'인증'}), confidence=0.4870426829268293, lift=5.561335465813674)]",2
"frozenset({'구매', '저'})",0.0028115428790199083,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'구매', '저'}), confidence=0.0028115428790199083, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'저'}), confidence=0.02589018156178389, lift=1.3183897500061803), OrderedStatistic(items_base=frozenset({'저'}), items_add=frozenset({'구매'}), confidence=0.14317046423784574, lift=1.3183897500061803)]",2
"frozenset({'라이브', '혜택'})",0.0027517228177641653,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'라이브', '혜택'}), confidence=0.0027517228177641653, lift=1.0), OrderedStatistic(items_base=frozenset({'라이브'}), items_add=frozenset({'혜택'}), confidence=0.24967433782023446, lift=10.382477538490784), OrderedStatistic(items_base=frozenset({'혜택'}), items_add=frozenset({'라이브'}), confidence=0.1144278606965174, lift=10.382477538490784)]",2
"frozenset({'가족', '인'})",0.0026201186830015315,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가족', '인'}), confidence=0.0026201186830015315, lift=1.0), OrderedStatistic(items_base=frozenset({'가족'}), items_add=frozenset({'인'}), confidence=0.21241513094083414, lift=22.47405861336542), OrderedStatistic(items_base=frozenset({'인'}), items_add=frozenset({'가족'}), confidence=0.2772151898734177, lift=22.47405861336542)]",2
"frozenset({'아이', '인증'})",0.0024550153139356813,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'아이', '인증'}), confidence=0.0024550153139356813, lift=1.0), OrderedStatistic(items_base=frozenset({'아이'}), items_add=frozenset({'인증'}), confidence=0.12421307506053267, lift=1.418336839598301), OrderedStatistic(items_base=frozenset({'인증'}), items_add=frozenset({'아이'}), confidence=0.0280327868852459, lift=1.418336839598301)]",2
