items,support,ordered_statistics,length
frozenset({'가가'}),0.00016988897396630933,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가가'}), confidence=0.00016988897396630933, lift=1.0)]",1
frozenset({'가게'}),0.0005072741194486983,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가게'}), confidence=0.0005072741194486983, lift=1.0)]",1
frozenset({'가격'}),0.02877823506891271,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가격'}), confidence=0.02877823506891271, lift=1.0)]",1
frozenset({'가구'}),0.0002991003062787136,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가구'}), confidence=0.0002991003062787136, lift=1.0)]",1
frozenset({'가기'}),0.0030938935681470137,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가기'}), confidence=0.0030938935681470137, lift=1.0)]",1
frozenset({'가까이'}),0.00014596094946401226,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가까이'}), confidence=0.00014596094946401226, lift=1.0)]",1
frozenset({'가나'}),0.00032542113323124044,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가나'}), confidence=0.00032542113323124044, lift=1.0)]",1
frozenset({'가능'}),0.0015337863705972435,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가능'}), confidence=0.0015337863705972435, lift=1.0)]",1
frozenset({'가도'}),0.0018807427258805513,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가도'}), confidence=0.0018807427258805513, lift=1.0)]",1
frozenset({'가드'}),0.00018185298621745788,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가드'}), confidence=0.00018185298621745788, lift=1.0)]",1
frozenset({'가득'}),0.00027995788667687597,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가득'}), confidence=0.00027995788667687597, lift=1.0)]",1
frozenset({'가든'}),0.0002919218989280245,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가든'}), confidence=0.0002919218989280245, lift=1.0)]",1
frozenset({'가라'}),0.0001292113323124043,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가라'}), confidence=0.0001292113323124043, lift=1.0)]",1
frozenset({'가로'}),0.0001052833078101072,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가로'}), confidence=0.0001052833078101072, lift=1.0)]",1
frozenset({'가면'}),0.00428072358346095,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가면'}), confidence=0.00428072358346095, lift=1.0)]",1
frozenset({'가방'}),0.00036370597243491577,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가방'}), confidence=0.00036370597243491577, lift=1.0)]",1
frozenset({'가보'}),0.00024645865237366005,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가보'}), confidence=0.00024645865237366005, lift=1.0)]",1
frozenset({'가성'}),0.0013351837672281777,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가성'}), confidence=0.0013351837672281777, lift=1.0)]",1
frozenset({'가세'}),0.00025124425727411946,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가세'}), confidence=0.00025124425727411946, lift=1.0)]",1
frozenset({'가슴'}),0.00015074655436447167,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가슴'}), confidence=0.00015074655436447167, lift=1.0)]",1
frozenset({'가시'}),0.00029670750382848393,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가시'}), confidence=0.00029670750382848393, lift=1.0)]",1
frozenset({'가야'}),0.002450229709035222,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가야'}), confidence=0.002450229709035222, lift=1.0)]",1
frozenset({'가오리'}),0.00010289050535987749,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가오리'}), confidence=0.00010289050535987749, lift=1.0)]",1
frozenset({'가요'}),0.010234016079632466,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가요'}), confidence=0.010234016079632466, lift=1.0)]",1
frozenset({'가용'}),0.0010073698315467075,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가용'}), confidence=0.0010073698315467075, lift=1.0)]",1
frozenset({'가유'}),0.0001363897396630934,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가유'}), confidence=0.0001363897396630934, lift=1.0)]",1
frozenset({'가을'}),0.0015194295558958652,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가을'}), confidence=0.0015194295558958652, lift=1.0)]",1
frozenset({'가이드'}),0.00024406584992343032,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가이드'}), confidence=0.00024406584992343032, lift=1.0)]",1
frozenset({'가입'}),0.0013256125574272587,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가입'}), confidence=0.0013256125574272587, lift=1.0)]",1
frozenset({'가장'}),0.00038045558958652373,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가장'}), confidence=0.00038045558958652373, lift=1.0)]",1
frozenset({'가정'}),0.00017467457886676877,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가정'}), confidence=0.00017467457886676877, lift=1.0)]",1
